resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,8,256,50.0,is,24790035.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,199757100.0,187302000.0,13500.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187302000.0,13500.0,12441600.0,199757100.0,697421100.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.790035,64,1586562240.0,0.0,0.6974211,17.2890934787385,0.020922633,33,True,0.02113397272727273
1080p,1920,1080,128,128,3,8,256,50.0,is,24790035.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,199757100.0,187302000.0,13500.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187302000.0,13500.0,12441600.0,199757100.0,697421100.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.790035,64,1586562240.0,0.0,0.6974211,17.2890934787385,0.020922633,100,True,0.006974211
1080p,1920,1080,128,128,3,8,256,50.0,is,24790035.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,199757100.0,187302000.0,13500.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187302000.0,13500.0,12441600.0,199757100.0,697421100.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.790035,64,1586562240.0,0.0,0.6974211,17.2890934787385,0.020922633,200,True,0.0034871055
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116622000.0,27000.0,6220800.0,122869800.0,635049000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.365265,64,791376960.0,0.0,0.635049,7.852549172985,0.01905147,33,True,0.019243909090909093
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116622000.0,27000.0,6220800.0,122869800.0,635049000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.365265,64,791376960.0,0.0,0.635049,7.852549172985,0.01905147,100,True,0.00635049
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116622000.0,27000.0,6220800.0,122869800.0,635049000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.365265,64,791376960.0,0.0,0.635049,7.852549172985,0.01905147,200,True,0.003175245
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,45942000.0,27000.0,12441600.0,58410600.0,500116560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.731515,64,558816960.0,0.0,0.50011656,4.3667752453884,0.0150034968,33,True,0.015155047272727274
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,45942000.0,27000.0,12441600.0,58410600.0,500116560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.731515,64,558816960.0,0.0,0.50011656,4.3667752453884,0.0150034968,100,True,0.0050011656
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,45942000.0,27000.0,12441600.0,58410600.0,500116560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.731515,64,558816960.0,0.0,0.50011656,4.3667752453884,0.0150034968,200,True,0.0025005828
1080p,1920,1080,128,128,3,8,256,200.0,is,24470910.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200115600.0,187620000.0,54000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187620000.0,54000.0,12441600.0,200115600.0,697779600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.47091,64,1566138240.0,0.0,0.6977796,17.075301791436,0.020933388,33,True,0.021144836363636364
1080p,1920,1080,128,128,3,8,256,200.0,is,24470910.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200115600.0,187620000.0,54000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187620000.0,54000.0,12441600.0,200115600.0,697779600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.47091,64,1566138240.0,0.0,0.6977796,17.075301791436,0.020933388,100,True,0.006977796
1080p,1920,1080,128,128,3,8,256,200.0,is,24470910.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200115600.0,187620000.0,54000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,187620000.0,54000.0,12441600.0,200115600.0,697779600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.47091,64,1566138240.0,0.0,0.6977796,17.075301791436,0.020933388,200,True,0.003488898
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116820000.0,54000.0,6220800.0,123094800.0,635274000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.03345,64,770140800.0,0.0,0.635274,7.6445379153,0.01905822,33,True,0.019250727272727274
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116820000.0,54000.0,6220800.0,123094800.0,635274000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.03345,64,770140800.0,0.0,0.635274,7.6445379153,0.01905822,100,True,0.00635274
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,116820000.0,54000.0,6220800.0,123094800.0,635274000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.03345,64,770140800.0,0.0,0.635274,7.6445379153,0.01905822,200,True,0.00317637
1080p,1920,1080,128,128,3,8,256,200.0,ws,8412390.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58515600.0,46020000.0,54000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,46020000.0,54000.0,12441600.0,58515600.0,500221560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.41239,64,538392960.0,0.0,0.50022156,4.2080588491284,0.0150066468,33,True,0.015158229090909092
1080p,1920,1080,128,128,3,8,256,200.0,ws,8412390.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58515600.0,46020000.0,54000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,46020000.0,54000.0,12441600.0,58515600.0,500221560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.41239,64,538392960.0,0.0,0.50022156,4.2080588491284,0.0150066468,100,True,0.0050022156
1080p,1920,1080,128,128,3,8,256,200.0,ws,8412390.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58515600.0,46020000.0,54000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,46020000.0,54000.0,12441600.0,58515600.0,500221560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.41239,64,538392960.0,0.0,0.50022156,4.2080588491284,0.0150066468,200,True,0.0025011078
1080p,1920,1080,128,128,3,8,256,800.0,is,24391050.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200913600.0,188256000.0,216000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,188256000.0,216000.0,12441600.0,200913600.0,698577600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.39105,64,1561027200.0,0.0,0.6985776,17.03904117048,0.020957328,33,True,0.021169018181818183
1080p,1920,1080,128,128,3,8,256,800.0,is,24391050.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200913600.0,188256000.0,216000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,188256000.0,216000.0,12441600.0,200913600.0,698577600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.39105,64,1561027200.0,0.0,0.6985776,17.03904117048,0.020957328,100,True,0.006985776
1080p,1920,1080,128,128,3,8,256,800.0,is,24391050.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,200913600.0,188256000.0,216000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,188256000.0,216000.0,12441600.0,200913600.0,698577600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.39105,64,1561027200.0,0.0,0.6985776,17.03904117048,0.020957328,200,True,0.003492888
1080p,1920,1080,128,128,3,8,256,800.0,os,11950485.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123652800.0,117216000.0,216000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,117216000.0,216000.0,6220800.0,123652800.0,635832000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,11.950485,64,764831040.0,0.0,0.635832,7.59850077852,0.01907496,33,True,0.019267636363636365
1080p,1920,1080,128,128,3,8,256,800.0,os,11950485.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123652800.0,117216000.0,216000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,117216000.0,216000.0,6220800.0,123652800.0,635832000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,11.950485,64,764831040.0,0.0,0.635832,7.59850077852,0.01907496,100,True,0.00635832
1080p,1920,1080,128,128,3,8,256,800.0,os,11950485.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123652800.0,117216000.0,216000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,117216000.0,216000.0,6220800.0,123652800.0,635832000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,11.950485,64,764831040.0,0.0,0.635832,7.59850077852,0.01907496,200,True,0.00317916
1080p,1920,1080,128,128,3,8,256,800.0,ws,8332530.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58833600.0,46176000.0,216000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,46176000.0,216000.0,12441600.0,58833600.0,500539560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.33253,64,533281920.0,0.0,0.50053956,4.1707608998868,0.0150161868,33,True,0.015167865454545456
